"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"*rel_luiz_felipe_brasil_santos";-0,488314154932157;0,632998583241341;-0,594949535748531;0,628516748291828;0,98497514976393;-0,31797916379612;0,412194400162688;-0,387417718629294;0,409275930331076;0,64139360147241;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,767621449844331;NA
"*cod_10529965";-0,383667896229107;1,33708405771788;-1,49217400304176;1,19862664456597;-0,956435089039087;-0,150336068252611;0,523921761857602;-0,584692060427438;0,469668739078609;-0,374768627341991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,30367077175702;NA
"*rel_joão_ricardo_dos_santos_costa";-0,39278036198028;0,398983677225572;-0,135224466323369;-0,0786462332309378;-0,649931986817686;-0,450447195464118;0,457561262829231;-0,155077716478482;-0,0901928370707887;-0,745353049802288;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,44450816656242;NA
"*cod_10497754";0,278492439765557;1,05864760533484;1,18702492035046;-0,496579363696232;4,37856004258517;0,0593401376531048;0,225572710984841;0,25292687381589;-0,105809291707279;0,932967357634974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,13181035381091;NA
"*rel_vera_lucia_deboni";0,278492439765557;1,05864760533484;1,18702492035046;-0,496579363696232;4,37856004258517;0,0593401376531048;0,225572710984841;0,25292687381589;-0,105809291707279;0,932967357634974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,13181035381091;NA
"*cod_10494898";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*ori_santa_maria";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*rel_carlos_eduardo_zietlow_duro";-0,667529460379372;0,30871784973721;0,297704789850296;2,47838324800707;-0,971764740796432;-0,240307627064176;0,111137048334229;0,107172395917786;0,892206910157501;-0,349830970445422;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,36138574141398;NA
"*cod_10442229";-0,486517677247389;0,0972914727200013;1,11871827954096;-0,67179696835644;0,961617210189302;-0,286996642012218;0,0573922126016922;0,6599316008464;-0,396292844122594;0,567257723885648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,834331526243461;NA
"*rel_jane_maria_köhler_vidal";-0,486517677247389;0,0972914727200013;1,11871827954096;-0,67179696835644;0,961617210189302;-0,286996642012218;0,0573922126016922;0,6599316008464;-0,396292844122594;0,567257723885648;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,834331526243461;NA
