"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"câmara";-0,221775551804203;-0,0550681485182248;-0,0302240985613705;0,266937767321282;0,167784534074378;0,284960494900157;-0,45871915133899;-0,113902610763838;-0,0625153346672684;0,552132392816901;0,347044471098225;0,589410488768137;0,330889794461313;0,0132106809418818;0,00358941124836416;0,204245908036175;0,065833881457418;0,168034066154827;0,000344959392642026;2,12687314468132e-05;6,40689123228354e-06;0,000499759070172321;0,000197444249704654;0,000569521272487067;0,00701359425058447;0,115835689110113;9,41077544896355e-05
"cível";0,454830228384318;0,580388672091272;0,128712360599376;0,62977323647084;-0,130180955289022;0,151029667737339;0,455591750855054;0,58136041712486;0,128927863766803;0,630827666104386;-0,130398917325245;0,151282536782869;0,254593308158898;0,268444441753981;0,0119082878575226;0,207966807771734;0,00724991349376028;0,00863465252805063;0,00204201586097003;0,00332505110562587;0,000163531334479287;0,00391497389806434;0,000167284375069331;0,000225156766923632;0,00987098450082258;0,27082966517162;0,000724023955252815
"tribunal";-0,163410805618771;-0,020068387901522;-0,101607004936876;0,147624863422829;0,122868489048348;0,217903562864238;-0,468224759125062;-0,0575024158019269;-0,291136900230315;0,422992934006343;0,352057922185008;0,624364116242264;0,240046706415539;0,0023443767269812;0,0542053283391286;0,0834700182682068;0,0471742297471019;0,131290971049487;0,000180348179812288;2,72003940179621e-06;6,97264446510433e-05;0,000147186927305177;0,000101960335689658;0,000320685175452113;0,00675383150056282;0,100208208900305;6,78198493565291e-05
"justiça";-0,163410805618771;-0,020068387901522;-0,101607004936876;0,147624863422829;0,122868489048348;0,217903562864238;-0,468224759125062;-0,0575024158019269;-0,291136900230315;0,422992934006343;0,352057922185008;0,624364116242264;0,240046706415539;0,0023443767269812;0,0542053283391286;0,0834700182682068;0,0471742297471019;0,131290971049487;0,000180348179812288;2,72003940179621e-06;6,97264446510433e-05;0,000147186927305177;0,000101960335689658;0,000320685175452113;0,00675383150056282;0,100208208900305;6,78198493565291e-05
"rs";-0,112876288971998;0,0565015981074829;-0,093119686685311;0,150592680087067;0,228461555848533;0,211404690930885;-0,297280183033717;0,148807208139673;-0,245247587017315;0,396613140877863;0,601694950794036;0,556772602877745;0,107861931367572;0,0175005794541048;0,0428752069626314;0,0817989546205644;0,15359553120688;0,11637614718018;8,71541667984333e-05;2,1837563122977e-05;5,93151621630677e-05;0,000155128086273155;0,000357033502256287;0,000305711622171534;0,00684041908390337;0,103261643011277;7,29391623927336e-05
"relator";-0,282277880613931;-0,151722322684361;0,00534504675434861;0,41192374420891;0,260117164339483;0,416164067699596;-0,394009399930175;-0,211777207575956;0,0074607286256339;0,574971821808179;0,363077006282016;0,580890554478416;0,301469449439395;0,0563971029217323;6,31325162058553e-05;0,273527216526889;0,0889850823482252;0,201553692899388;0,000586446286269882;0,000169423445498544;2,1027011936312e-07;0,0012488440158163;0,000497980762892125;0,00127468743231131;0,00735994458394666;0,154463402978902;0,000175600497279845
"julgar";-0,211776142592607;0,0450589815685859;0,123604098777778;0,0969066788437599;0,00476077386015158;0,511237758934743;-0,367026383251896;0,0780911146820994;0,214216600482653;0,16794766121224;0,00825083312020149;0,886019281239724;0,187115194774083;0,00548511768665695;0,0372289856938531;0,0166932035879641;3,28699972214491e-05;0,335407540593182;0,000349504035970768;1,58219814529254e-05;0,000119059450265824;7,31822145993148e-05;1,76625430537296e-07;0,00203677930162401;0,00779288250064941;0,147093306305238;0,000168610240573433
"12";1,64918915574907;0,159088177546883;1,86306962513225;-1,78923819166688;-2,33251522563054;2,2442507326714;0,369743388168889;0,0356671043941475;0,417694764235855;-0,401141972660863;-0,52294309568658;0,503154454360655;0,22258732005866;0,00134123077980006;0,165912123019582;0,111627983793381;0,154774007400484;0,126786852183471;0,00259053369000292;2,4105942556678e-05;0,00330602759624162;0,00304919095780699;0,00518199844625348;0,00479723567945773;0,000952463416746039;1,0502451013589;0,00105058121934471
"2024";1,6099273860046;-3,3011442886699;4,91786182474427;2,44834234189822;-3,27988133861203;-3,29786048641173;0,199223615672695;-0,408506561701663;0,608570437785865;0,30297491551344;-0,405875336326393;-0,408100201163471;0,0755499562545229;0,205692697461997;0,41175108855798;0,0744463156275522;0,109000245924672;0,0975120277925422;0,00403962173242156;0,0169846709726489;0,0376947414227195;0,00934270014861632;0,0167665762158419;0,0169508968898644;0,00155857650012988;1,75978488801194;0,00482666649383961
"criança";-0,510925281657007;-0,687803349504103;0,0296900026937388;-0,800494063070486;-0,551183150451664;-0,35433778605976;-0,380277762490488;-0,51192674970911;0,0220980409426892;-0,595801582188527;-0,410241384995559;-0,263730892336419;0,167513972672759;0,196577154060941;0,000330382622714643;0,175198250181227;0,0677669111820902;0,0247823893226717;0,00348089662214815;0,0063081921316751;1,17543011544679e-05;0,00854461639377509;0,00405105561196991;0,0016742151754246;0,0133344878344445;0,375061320481487;0,00187577565976992
